                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                0.29031,                0.40804,                0.44439,                0.90443,                0.97551,                0.97502,                0.99279,                0.98033,                0.97551,                0.97502,                0.99279,                   0.98,                 0.2218,                0.32012,                0.25138,                0.82647,             0.00012378,             0.00012378,             0.00012378
                     88,                0.29769,                0.42688,                 0.4317,                0.88508,                 0.9666,                0.98522,                 0.9929,                0.98304,                 0.9666,                0.98522,                 0.9929,                0.98186,                0.21825,                0.31597,                0.24367,                0.82559,             0.00011554,             0.00011554,             0.00011554
                     89,                0.28752,                0.41599,                0.46222,                0.88839,                0.97313,                0.97998,                0.99342,                0.98354,                0.97313,                0.97998,                0.99342,                0.98275,                0.22022,                0.31219,                0.23498,                 0.8228,             0.00010729,             0.00010729,             0.00010729
                     90,                0.30152,                0.43881,                0.42525,                  0.894,                 0.9721,                0.98134,                0.99346,                0.98163,                 0.9721,                0.98134,                0.99346,                0.98416,                 0.2151,                0.30823,                0.23409,                0.82172,             9.9044e-05,             9.9044e-05,             9.9044e-05
                     91,                0.23649,                0.31913,                0.31044,                 0.8517,                0.96251,                0.98084,                0.99264,                0.98286,                0.96251,                0.98084,                0.99264,                0.98241,                0.20689,                0.31092,                0.23555,                0.81553,             9.0797e-05,             9.0797e-05,             9.0797e-05
                     92,                0.23347,                0.32605,                0.31936,                0.86138,                0.96559,                0.98849,                0.99325,                0.98242,                0.96559,                0.98849,                0.99325,                0.98204,                0.21064,                 0.3092,                0.22652,                0.81736,              8.255e-05,              8.255e-05,              8.255e-05
                     93,                0.22703,                0.32669,                0.32689,                0.85053,                0.97058,                0.99419,                0.99273,                0.98328,                0.97058,                0.99419,                0.99311,                0.98458,                0.20145,                0.31067,                0.21748,                0.81415,             7.4304e-05,             7.4304e-05,             7.4304e-05
                     94,                0.21658,                 0.3115,                0.26609,                0.84012,                0.97834,                0.98788,                0.99308,                0.98188,                0.98401,                0.98395,                0.99355,                0.98432,                0.20387,                0.30844,                0.22712,                0.81533,             6.6057e-05,             6.6057e-05,             6.6057e-05
                     95,                0.23183,                0.32132,                0.30057,                0.85881,                0.97485,                0.99088,                0.99286,                0.98181,                0.97485,                0.99088,                 0.9931,                0.98356,                0.20575,                0.30664,                0.22917,                0.81595,              5.781e-05,              5.781e-05,              5.781e-05
                     96,                0.22351,                0.34215,                0.31869,                0.86715,                0.97719,                0.99364,                0.99319,                0.98034,                0.97719,                0.99364,                0.99319,                0.98276,                0.20397,                0.30203,                0.22223,                0.81632,             4.9564e-05,             4.9564e-05,             4.9564e-05
                     97,                0.21318,                0.30816,                0.27434,                0.86348,                0.97011,                0.99419,                0.99311,                 0.9834,                0.97011,                0.99419,                0.99311,                0.98301,                0.20127,                0.30013,                0.21615,                0.81303,             4.1317e-05,             4.1317e-05,             4.1317e-05
                     98,                0.20809,                0.30941,                0.25309,                0.83903,                0.97337,                0.99701,                0.99379,                0.98588,                0.97337,                0.99701,                0.99379,                0.98556,                0.19681,                0.29774,                0.20854,                0.81019,              3.307e-05,              3.307e-05,              3.307e-05
                     99,                 0.1977,                0.31046,                0.23759,                0.82067,                0.97122,                0.99655,                0.99394,                0.98605,                0.97122,                0.99655,                0.99394,                0.98664,                0.19272,                0.29608,                0.20277,                0.80766,             2.4823e-05,             2.4823e-05,             2.4823e-05
                    100,                 0.2083,                0.30459,                0.24584,                0.83121,                 0.9705,                 0.9979,                0.99331,                0.98596,                 0.9705,                 0.9979,                0.99331,                0.98574,                0.19152,                0.29519,                 0.1995,                0.80746,             1.6577e-05,             1.6577e-05,             1.6577e-05
